subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
34,Zero-filled,,,,23.430185414339,0.3286194773955601,0.645163721550235
35,ISRSL0_wiener,0.077,0.3,5.0,25.525020113306212,0.25972546367446914,0.7948065673923137
35,ISRSL0_BM3D,0.077,0.3,5.0,24.62261527650492,0.22444529760286713,0.7463572527096379
35,SL0,0.077,0.3,5.0,23.33832469838521,0.2978100213933488,0.6421524618041227
35,Zero-filled,,,,23.224595121428568,0.29794571962268246,0.6405121185825893
36,ISRSL0_wiener,0.077,0.3,5.0,27.949745980060534,0.2528982494243126,0.8273061966742217
36,ISRSL0_BM3D,0.077,0.3,5.0,26.723849903151347,0.22313048047109255,0.7868166672855709
36,SL0,0.077,0.3,5.0,25.675382067089036,0.28052727876223904,0.6833109988084359
36,Zero-filled,,,,25.55634461181025,0.280612637297559,0.6819184372267397
37,ISRSL0_wiener,0.077,0.3,5.0,30.653488849140714,0.22915111132606103,0.835435823582956
37,ISRSL0_BM3D,0.077,0.3,5.0,29.03828025432498,0.19089535670073762,0.7295327401865398
37,SL0,0.077,0.3,5.0,27.440376974669203,0.27474628679915114,0.6290421686721186
37,Zero-filled,,,,27.408544045841523,0.2747944665349468,0.6279971295996779
38,ISRSL0_wiener,0.077,0.3,5.0,29.12186738040422,0.23250725467327052,0.8252936842206838
38,ISRSL0_BM3D,0.077,0.3,5.0,25.31601241316541,0.19651842313199933,0.7079323446766346
38,SL0,0.077,0.3,5.0,23.47005600427826,0.27122674436530775,0.5936509889600581
38,Zero-filled,,,,23.400211817887822,0.27136396955352937,0.59237685521172
39,ISRSL0_wiener,0.077,0.3,5.0,28.94857062881391,0.2538573013045536,0.830541948942085
39,ISRSL0_BM3D,0.077,0.3,5.0,27.77638101682003,0.20350048250569278,0.7499649063815702
39,SL0,0.077,0.3,5.0,25.87206043915789,0.297717803231947,0.6274055418222504
39,Zero-filled,,,,25.795520192708405,0.29779952681579125,0.6262034402928115
40,ISRSL0_wiener,0.077,0.3,5.0,29.65578307831943,0.2656114911388434,0.81687422953106
40,ISRSL0_BM3D,0.077,0.3,5.0,27.984572267625445,0.22009654913232943,0.712578876206185
40,SL0,0.077,0.3,5.0,26.581351189572718,0.31399969084137286,0.6117987465886591
40,Zero-filled,,,,26.54635036659108,0.31405333501152227,0.6108377324592293
41,ISRSL0_wiener,0.077,0.3,5.0,28.98579803964794,0.19109897260444092,0.8680880093025397
41,ISRSL0_BM3D,0.077,0.3,5.0,28.565112207316027,0.15281880018116517,0.8062021796724586
41,SL0,0.077,0.3,5.0,22.30321844446943,0.24171612544325244,0.5826136325056548
41,Zero-filled,,,,22.23586072636055,0.2419088008951317,0.5809014230376558
42,ISRSL0_wiener,0.077,0.3,5.0,27.10530646658966,0.2583014388465799,0.8075499587532817
42,ISRSL0_BM3D,0.077,0.3,5.0,26.74008969782175,0.2061690277371612,0.7213760183651995
42,SL0,0.077,0.3,5.0,23.479198543362475,0.30968283896781273,0.5777444182042477
42,Zero-filled,,,,23.390918625011594,0.30982979719058523,0.5761409962663571
43,ISRSL0_wiener,0.077,0.3,5.0,28.38139122074868,0.21817608909360417,0.8694577301421029
43,ISRSL0_BM3D,0.077,0.3,5.0,26.88639819004001,0.1772432146143695,0.8099384183036614
43,SL0,0.077,0.3,5.0,25.61307932504388,0.250235033389954,0.6969141669307652
43,Zero-filled,,,,25.525529765268402,0.2502987743580467,0.6958351746879685
44,ISRSL0_wiener,0.077,0.3,5.0,28.211210682439386,0.2531915371242873,0.8119052637931258
44,ISRSL0_BM3D,0.077,0.3,5.0,26.642156270101435,0.2124332512262491,0.6925882756097436
44,SL0,0.077,0.3,5.0,25.462378282168125,0.30764575054467186,0.5826675452593275
44,Zero-filled,,,,25.394632895457747,0.30774753454538734,0.581305883029715
