subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
29,ISRSL0_BM3D,0.077,0.3,5.0,27.26823970490232,0.1760609614009305,0.8049856161946287
29,SL0,0.077,0.3,5.0,26.875055742473965,0.1858930375588175,0.7207825345308737
29,Zero-filled,,,,26.731913365163066,0.185925624778632,0.7197875305089471
30,ISRSL0_wiener,0.077,0.3,5.0,27.5315266400518,0.25466898845281283,0.7638543385113661
30,ISRSL0_BM3D,0.077,0.3,5.0,24.343217039081058,0.24044321505785152,0.7164224354758248
30,SL0,0.077,0.3,5.0,23.324519060053845,0.2553588451134079,0.6176668263348989
30,Zero-filled,,,,22.567516609517135,0.25558550192265056,0.608867632545542
31,ISRSL0_wiener,0.077,0.3,5.0,27.43860865630777,0.2936487096150178,0.7289320980369594
31,ISRSL0_BM3D,0.077,0.3,5.0,24.940280893123337,0.28051739023645106,0.7151147356776814
31,SL0,0.077,0.3,5.0,24.09790713749471,0.2925090391673266,0.6301504595433467
31,Zero-filled,,,,23.822594234472966,0.2925924290930538,0.6283683884752443
32,ISRSL0_wiener,0.077,0.3,5.0,29.595110107302233,0.18319556657599023,0.8116708332721145
32,ISRSL0_BM3D,0.077,0.3,5.0,26.78902433893926,0.17178083396729088,0.7528821806981282
32,SL0,0.077,0.3,5.0,26.64974619579622,0.18241590314320066,0.6715977362062109
32,Zero-filled,,,,26.19539544960682,0.18248411443752793,0.6664838518072834
33,ISRSL0_wiener,0.077,0.3,5.0,26.405489548605342,0.31061527368777214,0.7331817131447866
33,ISRSL0_BM3D,0.077,0.3,5.0,23.111936678631942,0.2986328425496054,0.6805235631282825
33,SL0,0.077,0.3,5.0,17.94772830093261,0.31226483420224493,0.5347529911662507
33,Zero-filled,,,,16.990448413098054,0.3132789249920676,0.5161702953941663
34,ISRSL0_wiener,0.077,0.3,5.0,27.071802521452625,0.28735551563586365,0.7363627171564554
34,ISRSL0_BM3D,0.077,0.3,5.0,23.339516090226873,0.27088677179744985,0.6969221420060829
34,SL0,0.077,0.3,5.0,23.159557168832805,0.28665643027147164,0.6029960707145373
34,Zero-filled,,,,22.751517841820018,0.28680512835650257,0.5993707112090695
35,ISRSL0_wiener,0.077,0.3,5.0,27.759861940926136,0.21560055513384616,0.7849638509028634
35,ISRSL0_BM3D,0.077,0.3,5.0,27.306931353792713,0.20067553511254796,0.7938773579955173
35,SL0,0.077,0.3,5.0,26.03563375597005,0.2114311323428615,0.6983137589131824
35,Zero-filled,,,,25.67257282514579,0.21148657895073059,0.6963158927620977
36,ISRSL0_wiener,0.077,0.3,5.0,27.907741427851008,0.18462391522558197,0.8055877776148648
36,ISRSL0_BM3D,0.077,0.3,5.0,25.63634152589747,0.17158664213477348,0.8087459348270516
36,SL0,0.077,0.3,5.0,24.77336522580975,0.18223321726448294,0.7305284523908937
36,Zero-filled,,,,24.438542397778484,0.18231095826087015,0.728530837207756
37,ISRSL0_wiener,0.077,0.3,5.0,28.558036810894674,0.22967097990719063,0.7956363828023207
37,ISRSL0_BM3D,0.077,0.3,5.0,27.82869635809196,0.21659719964920893,0.8041088774432297
37,SL0,0.077,0.3,5.0,14.37567923608447,0.24219245105687537,0.4563082051381832
37,Zero-filled,,,,13.755746012397744,0.2441723896241527,0.43589897969348135
38,ISRSL0_wiener,0.077,0.3,5.0,25.143333047555583,0.2468173488874776,0.7389517014932963
38,ISRSL0_BM3D,0.077,0.3,5.0,22.804175747886717,0.23201308870121293,0.7169709936852371
38,SL0,0.077,0.3,5.0,23.41516075075598,0.2441848709306947,0.6352315372960425
38,Zero-filled,,,,23.04861863651012,0.2442862146311761,0.632673232090423
39,ISRSL0_wiener,0.077,0.3,5.0,24.959543544585646,0.21208606330174648,0.792913927037737
39,ISRSL0_BM3D,0.077,0.3,5.0,23.95985634006874,0.19752994738093654,0.7938587981001726
39,SL0,0.077,0.3,5.0,22.469377062230727,0.209378274915084,0.6936803988920188
39,Zero-filled,,,,21.839800648053238,0.20969295692411075,0.683151978850342
40,ISRSL0_wiener,0.077,0.3,5.0,28.102650565295914,0.2615167076982315,0.7462869757683728
40,ISRSL0_BM3D,0.077,0.3,5.0,27.923726286237795,0.2452340520712109,0.7468175485081638
40,SL0,0.077,0.3,5.0,26.39783032388234,0.26048766993035943,0.6648413978109375
40,Zero-filled,,,,26.412849592177178,0.26052658185058986,0.6638932962034408
